route,lat sensor,lon sensor
r1,20.539295,-100.818147
r1,20.53930733,-100.8180568
r1,20.53931783,-100.817971
r1,20.53933183,-100.8178858
r1,20.53934483,-100.817802
r1,20.53935117,-100.8177122
r1,20.53936283,-100.8176243
r1,20.53937467,-100.8175358
r1,20.53937933,-100.8174465
r1,20.53939733,-100.8173515
r1,20.53940917,-100.8172647
r1,20.53942733,-100.817187
r1,20.539437,-100.8171308
r1,20.53943967,-100.8170848
r1,20.5394405,-100.8170517
r1,20.53944467,-100.8170307
r1,20.53945,-100.8170068
r1,20.53945667,-100.8169768
r1,20.53946117,-100.816925
r1,20.539475,-100.8168783
r1,20.5394825,-100.8168185
r1,20.53949783,-100.8167647
r1,20.53952117,-100.8167103
r1,20.53953583,-100.8166482
r1,20.5395615,-100.8166095
r1,20.539576,-100.8165722
r1,20.53958717,-100.8165447
r1,20.539603,-100.8165257
r1,20.53961167,-100.8165038
r1,20.53962583,-100.8164748
r1,20.53963733,-100.8164412
r1,20.53965633,-100.8163985
r1,20.53967433,-100.8163448
r1,20.5396915,-100.8162908
r1,20.53972033,-100.8162368
r1,20.5397325,-100.8161713
r1,20.53974817,-100.816107
r1,20.5397675,-100.8160422
r1,20.53978117,-100.8159862
r1,20.53978967,-100.8159357
r1,20.5397995,-100.8158863
r1,20.539806,-100.8158437
r1,20.53980583,-100.8158055
r1,20.53980933,-100.8157713
r1,20.53981467,-100.815749
r1,20.53982933,-100.8157062
r1,20.53984667,-100.8156662
r1,20.53986083,-100.8156242
r1,20.539876,-100.8155792
r1,20.539892,-100.815516
r1,20.53990983,-100.8154537
r1,20.53991,-100.8153878
r1,20.53992267,-100.8153183
r1,20.53994133,-100.815256
r1,20.53995233,-100.8151842
r1,20.539956,-100.8151208
r1,20.53996267,-100.8150615
r1,20.53997233,-100.8149948
r1,20.53998083,-100.814931
r1,20.53999717,-100.8148572
r1,20.540011,-100.8147767
r1,20.5400235,-100.8146947
r1,20.54003417,-100.8146105
r1,20.540046,-100.8145285
r1,20.54006083,-100.814462
r1,20.54007883,-100.8144032
r1,20.5401055,-100.8143412
r1,20.54012583,-100.8142715
r1,20.54012883,-100.8142207
r1,20.54013283,-100.8141697
r1,20.54013267,-100.8141378
r1,20.54013683,-100.8141112
r1,20.54012233,-100.8140825
r1,20.54011233,-100.8140488
r1,20.54009717,-100.8140228
r1,20.5400945,-100.8139888
r1,20.54009867,-100.8139492
r1,20.54011033,-100.813915
r1,20.54011267,-100.8138655
r1,20.540112,-100.8138072
r1,20.54012167,-100.8137542
r1,20.54012967,-100.8136903
r1,20.54014883,-100.8136302
r1,20.5401645,-100.8135665
r1,20.54017017,-100.8135022
r1,20.54016233,-100.813447
r1,20.54016967,-100.8133938
r1,20.54017533,-100.8133517
r1,20.54017233,-100.8133237
r1,20.54017567,-100.8133045
r1,20.54017667,-100.813279
r1,20.5401755,-100.8132525
r1,20.5401685,-100.8132205
r1,20.54016267,-100.8131792
r1,20.54016333,-100.8131398
r1,20.54016317,-100.8130955
r1,20.5401705,-100.813051
r1,20.54018017,-100.8129967
r1,20.54019367,-100.8129405
r1,20.54021367,-100.8128705
r1,20.5402255,-100.8128022
r1,20.54024,-100.8127247
r1,20.54025783,-100.812655
